GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tracking-number-generator,com.getrosoft.controller,TrackingNumberController,0,18,0,0,0,4,0,2,0,2
tracking-number-generator,com.getrosoft,TrackingNumberGeneratorApplication,5,7,0,0,2,2,1,2,1,2
tracking-number-generator,com.getrosoft.model.response,TrackingNumberResponse,164,31,38,0,0,5,23,9,4,9
tracking-number-generator,com.getrosoft.model.request,TrackingNumberRequest,287,52,62,0,1,9,36,15,5,15
tracking-number-generator,com.getrosoft.service.impl,TrackingNumberServiceImpl,0,35,1,1,0,6,1,3,0,3
tracking-number-generator,com.getrosoft.exception,GlobalExceptionHandler,25,35,0,0,5,7,1,4,1,4
tracking-number-generator,com.getrosoft.model.entity,TrackingNumber,180,30,38,0,1,6,27,6,8,6
